Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,1.207851228087089993e-05,-1.423520582019915611e-05
2.000793650793650791e+00,5.594759713717403094e-06,-1.292215656658937221e-05
2.001587301587301582e+00,-1.831701100462683215e-06,-1.344226855976015025e-05
2.002380952380952372e+00,-9.204907337547340400e-06,-1.514543889485766208e-05
2.003174603174603163e+00,-1.551668108152473385e-05,-1.722031908550003467e-05
2.003968253968253954e+00,-1.996209089852527189e-05,-1.887155004672627160e-05
2.004761904761904745e+00,-2.210801081393539211e-05,-1.948094302205675090e-05
2.005555555555555536e+00,-2.197090225561186888e-05,-1.872416591434386408e-05
2.006349206349206327e+00,-1.998662990142260521e-05,-1.662098163023426162e-05
2.007142857142857117e+00,-1.688471064423489448e-05,-1.350108555990045958e-05
2.007936507936507908e+00,-1.350176622949087703e-05,-9.881158941596301424e-06
2.008730158730158699e+00,-1.057841470618583903e-05,-6.281766471625497162e-06
2.009523809523809490e+00,-8.582443629336962369e-06,-3.051713080088344216e-06
2.010317460317460281e+00,-7.594790565109277501e-06,-2.795625157050808274e-07
2.011111111111111072e+00,-7.285902620403280606e-06,2.162832315368227118e-06
2.011904761904761862e+00,-6.995633873616192689e-06,4.465686824905678895e-06
2.012698412698412653e+00,-5.907796162348425999e-06,6.694598569780406636e-06
2.013492063492063444e+00,-3.284071912511970218e-06,8.670874402200124623e-06
2.014285714285714235e+00,1.300273641022330603e-06,9.992388829650167520e-06
2.015079365079365026e+00,7.784143218772123478e-06,1.020970758726360972e-05
2.015873015873015817e+00,1.556347759122736891e-05,9.102193958458577885e-06
2.016666666666666607e+00,2.356905128806733373e-05,6.941841002138611486e-06
2.017460317460317398e+00,3.046221806787558634e-05,4.611272652985150679e-06
2.018253968253968189e+00,3.490499524725617980e-05,3.474216775196573575e-06
2.019047619047618980e+00,3.585000694570038011e-05,4.985206284183256071e-06
2.019841269841269771e+00,3.279458597679894876e-05,1.014471566777240407e-05
2.020634920634920562e+00,2.594446428975941406e-05,1.899899335727278109e-05
2.021428571428571352e+00,1.623861410300239696e-05,3.039273188137247883e-05
2.022222222222222143e+00,5.207777696159877380e-06,4.209673628084304847e-05
2.023015873015872934e+00,-5.321055975680283329e-06,5.129949201586653696e-05
2.023809523809523725e+00,-1.361362547869998535e-05,5.533492958552345479e-05
2.024603174603174516e+00,-1.841335238659440668e-05,5.245113049304634409e-05
2.025396825396825307e+00,-1.921793253107299031e-05,4.240477663914342025e-05
2.026190476190476097e+00,-1.637221248892961793e-05,2.669172787969764575e-05
2.026984126984126888e+00,-1.095623792568835536e-05,8.306321148999176631e-06
2.027777777777777679e+00,-4.505300802168084404e-06,-8.941143883779597142e-06
2.028571428571428470e+00,1.360426291907463989e-06,-2.136834290336462770e-05
2.029365079365079261e+00,5.305472675368065828e-06,-2.634565378188037806e-05
2.030158730158730052e+00,6.566877473897968945e-06,-2.291934018512533765e-05
2.030952380952380842e+00,5.102954244146918428e-06,-1.195140110933208704e-05
2.031746031746031633e+00,1.574899094262637438e-06,4.240537637411156083e-06
2.032539682539682424e+00,-2.834664242831145821e-06,2.259132972266685469e-05
2.033333333333333215e+00,-6.728050141494120362e-06,4.008661889242174232e-05
2.034126984126984006e+00,-8.854932416086896664e-06,5.439513391109253179e-05
2.034920634920634797e+00,-8.442872842537423389e-06,6.418070946016356238e-05
2.035714285714285587e+00,-5.408045091418456216e-06,6.908271493055511900e-05
2.036507936507936378e+00,-3.826369007945735184e-07,6.946662772872174720e-05
2.037301587301587169e+00,5.455579372926322898e-06,6.609194926939251740e-05
2.038095238095237960e+00,1.070388929668660432e-05,5.982825102000870416e-05
2.038888888888888751e+00,1.410769152432126245e-05,5.149949905644364751e-05
2.039682539682539542e+00,1.487508038867801144e-05,4.187466191253511033e-05
2.040476190476190332e+00,1.285141085722432164e-05,3.175962151933710027e-05
2.041269841269841123e+00,8.525232755491840317e-06,2.209516690299371218e-05
2.042063492063491914e+00,2.886784540263146320e-06,1.395366285436289184e-05
2.042857142857142705e+00,-2.809674401820234270e-06,8.371407559550234306e-06
2.043650793650793496e+00,-7.320473754117635853e-06,6.041423542063309294e-06
2.044444444444444287e+00,-9.672642478273287212e-06,6.978501450929075016e-06
2.045238095238095077e+00,-9.370814938546498781e-06,1.030922801819029623e-05
2.046031746031745868e+00,-6.519713781484097471e-06,1.431575341975085905e-05
2.046825396825396659e+00,-1.832140059073084063e-06,1.678396854681143277e-05
2.047619047619047450e+00,3.500170305482646285e-06,1.559961672797130191e-05
2.048412698412698241e+00,8.066086904072334581e-06,9.430845295005264381e-06
2.049206349206349032e+00,1.056957044742504160e-05,-1.728822180844189734e-06
2.049999999999999822e+00,1.014415264186260464e-05,-1.637104175202799220e-05
2.050793650793650613e+00,6.553403148677621907e-06,-3.175112018527797739e-05
2.051587301587301404e+00,2.263250383180919097e-07,-4.459127008299085742e-05
2.052380952380952195e+00,-7.867360101484414175e-06,-5.201044053784184752e-05
2.053174603174602986e+00,-1.645587913371411047e-05,-5.239156433981118343e-05
2.053968253968253777e+00,-2.425094302590912457e-05,-4.590435069920518319e-05
2.054761904761904567e+00,-3.020658334228216839e-05,-3.450405209738954696e-05
2.055555555555555358e+00,-3.368658291406172834e-05,-2.139179751807862117e-05
2.056349206349206149e+00,-3.450526681605459097e-05,-1.010023377267210665e-05
2.057142857142856940e+00,-3.285172389232135151e-05,-3.499349540321919772e-06
2.057936507936507731e+00,-2.914935695883843884e-05,-3.046396084781186668e-06
2.058730158730158522e+00,-2.391868675281083544e-05,-8.509729355800450262e-06
2.059523809523809312e+00,-1.769330645398128944e-05,-1.821560462621126461e-05
2.060317460317460103e+00,-1.099929976217014993e-05,-2.968102466159937795e-05
2.061111111111110894e+00,-4.370382094528232790e-06,-4.038402333272948455e-05
2.061904761904761685e+00,1.646790127669119317e-06,-4.841818164424039635e-05
2.062698412698412920e+00,6.532832105943374733e-06,-5.286032044467366337e-05
2.063492063492063711e+00,9.884951087096285129e-06,-5.380102991372754366e-05
2.064285714285714501e+00,1.152245121354520648e-05,-5.209892758110663233e-05
2.065079365079365292e+00,1.155639800631171636e-05,-4.898788677031444311e-05
2.065873015873016083e+00,1.038155292698232483e-05,-4.568053395525270338e-05
2.066666666666666874e+00,8.582635888343257934e-06,-4.308124478305330680e-05
2.067460317460317665e+00,6.785912533476209703e-06,-4.166638311419687172e-05
2.068253968253968456e+00,5.509739949007337763e-06,-4.152465185027440513e-05
2.069047619047619246e+00,5.063248706917192200e-06,-4.249270933850194363e-05
2.069841269841270037e+00,5.517114176769425932e-06,-4.429185058190702535e-05
2.070634920634920828e+00,6.741203949291270667e-06,-4.658758712919916067e-05
2.071428571428571619e+00,8.484531946363087752e-06,-4.895266583826747152e-05
2.072222222222222410e+00,1.046686432666628044e-05,-5.078541090253540862e-05
2.073015873015873201e+00,1.245490985962494879e-05,-5.127503865048920107e-05
2.073809523809523991e+00,1.430510125029397944e-05,-4.948633176932575061e-05
2.074603174603174782e+00,1.596704384998440888e-05,-4.456952730324231619e-05
2.075396825396825573e+00,1.745410622465134803e-05,-3.602930514899574269e-05
2.076190476190476364e+00,1.879651132197186891e-05,-2.394977218370919380e-05
2.076984126984127155e+00,1.999478866720432981e-05,-9.084791908535340608e-06
2.077777777777777946e+00,2.098784516401140527e-05,7.227480741413602123e-06
2.078571428571428736e+00,2.164309401408841079e-05,2.330478267115485157e-05
2.079365079365079527e+00,2.176933818556797033e-05,3.744220074613991751e-05
2.080158730158730318e+00,2.114815054068001411e-05,4.821552173558287641e-05
