Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,4.733230787397004505e-05,6.191600071019653115e-05
2.000793650793650791e+00,4.473681605202770327e-05,8.038466976654805773e-05
2.001587301587301582e+00,4.012614943566240021e-05,8.077470349856827434e-05
2.002380952380952372e+00,3.322944015559981700e-05,6.233610855471498867e-05
2.003174603174603163e+00,2.389761677806348956e-05,2.778681359144820784e-05
2.003968253968253954e+00,1.210373176650829862e-05,-1.688924012952161072e-05
2.004761904761904745e+00,-1.984011040742228082e-06,-6.334678363652533921e-05
2.005555555555555536e+00,-1.789416251738875255e-05,-1.023894515460035081e-04
2.006349206349206327e+00,-3.477612689936244463e-05,-1.257941670834263948e-04
2.007142857142857117e+00,-5.141181418243783178e-05,-1.280302926894010690e-04
2.007936507936507908e+00,-6.633044267424663464e-05,-1.074588505889294640e-04
2.008730158730158699e+00,-7.800215518967211048e-05,-6.673388502936572475e-05
2.009523809523809490e+00,-8.506507453112793229e-05,-1.233297651607953921e-05
2.010317460317460281e+00,-8.654053162890728667e-05,4.665977004963704007e-05
2.011111111111111072e+00,-8.200575501330770449e-05,1.002543603469740135e-04
2.011904761904761862e+00,-7.171275468685975188e-05,1.394017286940443031e-04
2.012698412698412653e+00,-5.665165534952059891e-05,1.576359448947576701e-04
2.013492063492063444e+00,-3.854208671115413756e-05,1.522020401537256041e-04
2.014285714285714235e+00,-1.970428503306693570e-05,1.244562109783167150e-04
2.015079365079365026e+00,-2.750460071952363472e-06,7.947260817054421290e-05
2.015873015873015817e+00,9.911077046360580891e-06,2.496136947227282148e-05
2.016666666666666607e+00,1.665649401056027394e-05,-3.025261300201268706e-05
2.017460317460317398e+00,1.711102830073807138e-05,-7.786379489329365341e-05
2.018253968253968189e+00,1.229352535287555400e-05,-1.115094655074125573e-04
2.019047619047618980e+00,4.349209778016949455e-06,-1.277250400562880673e-04
2.019841269841269771e+00,-4.052170165595520930e-06,-1.262779446872825534e-04
2.020634920634920562e+00,-1.044140347972153243e-05,-1.098544519633819309e-04
2.021428571428571352e+00,-1.315096928751179174e-05,-8.321205413993269220e-05
2.022222222222222143e+00,-1.161547506878599298e-05,-5.202822504656106847e-05
2.023015873015872934e+00,-6.325619870691423173e-06,-2.173014373249599151e-05
2.023809523809523725e+00,1.485508536360497066e-06,3.442824151468625568e-06
2.024603174603174516e+00,1.027640562079144222e-05,2.098933189652288405e-05
2.025396825396825307e+00,1.860213860768886662e-05,3.027062208207814448e-05
2.026190476190476097e+00,2.538658805160338405e-05,3.226811106873508418e-05
2.026984126984126888e+00,3.002336293655260747e-05,2.909110002810054506e-05
2.027777777777777679e+00,3.232879941110907248e-05,2.337005805847875168e-05
2.028571428571428470e+00,3.241193717720716153e-05,1.765941098924844049e-05
2.029365079365079261e+00,3.053622484257794675e-05,1.394687653672568091e-05
2.030158730158730052e+00,2.702637224386070355e-05,1.333644097802210090e-05
2.030952380952380842e+00,2.223562693789118196e-05,1.594335743449675101e-05
2.031746031746031633e+00,1.655514275059463277e-05,2.100597939024829343e-05
2.032539682539682424e+00,1.043363517039500940e-05,2.717545855500167184e-05
2.033333333333333215e+00,4.383276618653970971e-06,3.290056638503709673e-05
2.034126984126984006e+00,-1.035357326932063477e-06,3.680273670516248175e-05
2.034920634920634797e+00,-5.245584811456869534e-06,3.794955957308251688e-05
2.035714285714285587e+00,-7.700900992314321680e-06,3.597909862430758907e-05
2.036507936507936378e+00,-7.946615151831018813e-06,3.108400005615621344e-05
2.037301587301587169e+00,-5.698412288269222691e-06,2.390728805978691032e-05
2.038095238095237960e+00,-9.338387158242352675e-07,1.540825945248092181e-05
2.038888888888888751e+00,6.017547960151927111e-06,6.726233368783454648e-06
2.039682539682539542e+00,1.441402266169382535e-05,-9.685174645411652790e-07
2.040476190476190332e+00,2.311176873044481535e-05,-6.656101731100061833e-06
2.041269841269841123e+00,3.068056852670212020e-05,-9.669374111340378407e-06
2.042063492063491914e+00,3.563190862446113076e-05,-9.863317291001591800e-06
2.042857142857142705e+00,3.672305308492409816e-05,-7.680503613024742537e-06
2.043650793650793496e+00,3.326313269255053379e-05,-4.066490057060396607e-06
2.044444444444444287e+00,2.533330421369743858e-05,-2.412160197834022410e-07
2.045238095238095077e+00,1.384895735995228176e-05,2.615502915121950590e-06
2.046031746031745868e+00,4.340636982479664911e-07,3.675494782832270991e-06
2.046825396825396659e+00,-1.286607529773192372e-05,2.680219734471772777e-06
2.047619047619047450e+00,-2.395866084507818368e-05,5.909162496334753466e-10
2.048412698412698241e+00,-3.106940401000679504e-05,-3.480611800232139757e-06
2.049206349206349032e+00,-3.302117811634435417e-05,-6.631717821305883633e-06
2.049999999999999822e+00,-2.937988281294529600e-05,-8.406849012176306564e-06
2.050793650793650613e+00,-2.045919976758394984e-05,-8.158185831883288540e-06
2.051587301587301404e+00,-7.211126900609430085e-06,-5.837306146975177232e-06
2.052380952380952195e+00,8.942354306857161955e-06,-2.026690069853032783e-06
2.053174603174602986e+00,2.627468227693439154e-05,2.211981337357150295e-06
2.053968253968253777e+00,4.288185714714311031e-05,5.636470064105449660e-06
2.054761904761904567e+00,5.678050804333005660e-05,7.191825807182419162e-06
2.055555555555555358e+00,6.601662489608912444e-05,6.346662077092755314e-06
2.056349206349206149e+00,6.882524348493176698e-05,3.299738290042721083e-06
2.057142857142856940e+00,6.386341232048131438e-05,-1.011057520187545170e-06
2.057936507936507731e+00,5.051423382258339058e-05,-5.114182483705600653e-06
2.058730158730158522e+00,2.921939271904117478e-05,-7.383834382517667499e-06
2.059523809523809312e+00,1.733793160201719193e-06,-6.504042439591477395e-06
2.060317460317460103e+00,-2.885898950520515360e-05,-1.898711507646723261e-06
2.061111111111110894e+00,-5.851312833753982798e-05,5.993111007662543311e-06
2.061904761904761685e+00,-8.298358322181173486e-05,1.568510943949404722e-05
2.062698412698412920e+00,-9.880834621132795060e-05,2.488036320013154609e-05
2.063492063492063711e+00,-1.041850225618510482e-04,3.093123439885258784e-05
2.064285714285714501e+00,-9.941208312127997645e-05,3.142481563406156149e-05
2.065079365079365292e+00,-8.672071542039977085e-05,2.477411539222433714e-05
2.065873015873016083e+00,-6.956326346192990976e-05,1.069264464866581881e-05
2.066666666666666874e+00,-5.162717365209118633e-05,-9.562388733713585257e-06
2.067460317460317665e+00,-3.591572838265004328e-05,-3.326613644246155304e-05
2.068253968253968456e+00,-2.416280863871294628e-05,-5.664833491468974870e-05
2.069047619047619246e+00,-1.668729263664914684e-05,-7.560222830535331332e-05
2.069841269841270037e+00,-1.263271130027844694e-05,-8.654195671900479696e-05
2.070634920634920828e+00,-1.044609014532556554e-05,-8.722583647096735361e-05
2.071428571428571619e+00,-8.438871201212112968e-06,-7.735375130081015521e-05
2.072222222222222410e+00,-5.305743414181189683e-06,-5.876670994389728264e-05
2.073015873015873201e+00,-5.064208642354054001e-07,-3.513868371441572583e-05
2.073809523809523991e+00,5.573831241802118216e-06,-1.117406425845224109e-05
2.074603174603174782e+00,1.174787152591384663e-05,8.510058389350852684e-06
2.075396825396825573e+00,1.643055409708497742e-05,2.050097544232763272e-05
2.076190476190476364e+00,1.821378464670743726e-05,2.336569531621798405e-05
2.076984126984127155e+00,1.641719958807951173e-05,1.785705467244844846e-05
2.077777777777777946e+00,1.140971346098642695e-05,6.526164041490029506e-06
2.078571428571428736e+00,4.577560724210580280e-06,-7.083379341203810674e-06
2.079365079365079527e+00,-2.054259011090758772e-06,-1.937128192599521195e-05
2.080158730158730318e+00,-6.415886441096218814e-06,-2.746902008346165501e-05
2.080952380952381109e+00,-6.999777259964221728e-06,-2.971199383150334387e-05
2.081746031746031900e+00,-3.282961221224761032e-06,-2.576209012229241247e-05
2.082539682539682691e+00,4.162030759523587071e-06,-1.644573556916006858e-05
2.083333333333333481e+00,1.388406539228800942e-05,-3.412947442419181687e-06
2.084126984126984272e+00,2.400654106048198791e-05,1.127698410576550097e-05
2.084920634920635063e+00,3.275496232868799440e-05,2.555487111963590814e-05
2.085714285714285854e+00,3.888731955019139759e-05,3.766204231231931083e-05
2.086507936507936645e+00,4.190801617566729763e-05,4.635541740577984755e-05
2.087301587301587436e+00,4.203648035304633607e-05,5.098887305655547015e-05
2.088095238095238226e+00,3.998797276229023575e-05,5.148847175085073056e-05
2.088888888888889017e+00,3.667169026194450109e-05,4.825871827899758429e-05
2.089682539682539808e+00,3.291138052260438339e-05,4.206345636039983491e-05
2.090476190476190599e+00,2.925930476126960823e-05,3.391554085778308305e-05
2.091269841269841390e+00,2.592666784230236653e-05,2.498986155812181256e-05
2.092063492063492181e+00,2.281467525288795976e-05,1.655414890741014616e-05
2.092857142857142971e+00,1.961533036842714526e-05,9.897437440346244797e-06
2.093650793650793762e+00,1.595632491204948596e-05,6.230132099909249576e-06
2.094444444444444553e+00,1.156974215746559356e-05,6.535825700163978604e-06
2.095238095238095344e+00,6.455682845388197957e-06,1.137569435305868280e-05
2.096031746031746135e+00,9.967176087659488648e-07,2.067726811027557025e-05
2.096825396825396925e+00,-4.025442904879030701e-06,3.356921157333739178e-05
2.097619047619047716e+00,-7.544903452189243881e-06,4.833856742063242270e-05
2.098412698412698507e+00,-8.460147741423003139e-06,6.257510921347696957e-05
2.099206349206349298e+00,-5.974994281945379694e-06,7.352391642011852268e-05
2.100000000000000089e+00,5.448564616840522641e-08,7.859961144046307758e-05
2.100793650793650880e+00,8.883634612436474954e-06,7.594699486488277074e-05
2.101587301587301670e+00,1.886442708054416207e-05,6.489343086160471237e-05
2.102380952380952461e+00,2.771049481762398567e-05,4.615069804271890018e-05
2.103174603174603252e+00,3.300821368528931825e-05,2.169098775516827758e-05
2.103968253968254043e+00,3.283899366232123412e-05,-5.678000776283640792e-06
2.104761904761904834e+00,2.631508697501863274e-05,-3.291983478612667301e-05
2.105555555555555625e+00,1.385000719366385837e-05,-5.738819859527468579e-05
