Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,-2.283418303268241285e-07,-7.854629096473397212e-06
2.000793650793650791e+00,-3.075625804988514811e-06,-2.006313247913429538e-05
2.001587301587301582e+00,-5.117436677347706469e-06,-3.178026512055572153e-05
2.002380952380952372e+00,-6.023669191047895660e-06,-4.125250469038258872e-05
2.003174603174603163e+00,-5.771944643673660558e-06,-4.672556657391614416e-05
2.003968253968253954e+00,-4.637820019226918191e-06,-4.681864265898487112e-05
2.004761904761904745e+00,-3.102122725698115316e-06,-4.085314802897367832e-05
2.005555555555555536e+00,-1.706567170154148580e-06,-2.904867843304910952e-05
2.006349206349206327e+00,-9.028170493835605227e-07,-1.252990690247408088e-05
2.007142857142857117e+00,-9.405015369154929005e-07,6.856048042019895616e-06
2.007936507936507908e+00,-1.824632432375804360e-06,2.685318848621439736e-05
2.008730158730158699e+00,-3.347301069577960308e-06,4.514915324707393664e-05
2.009523809523809490e+00,-5.173257655325184743e-06,5.968161572581344112e-05
2.010317460317460281e+00,-6.944349831411406203e-06,6.884996912628565491e-05
2.011111111111111072e+00,-8.367359858364276258e-06,7.162531993952958760e-05
2.011904761904761862e+00,-9.260265335818693153e-06,6.758010633395332065e-05
2.012698412698412653e+00,-9.548756056530772657e-06,5.686962317263394561e-05
2.013492063492063444e+00,-9.224363006236881228e-06,4.019616117536179328e-05
2.014285714285714235e+00,-8.291724091895974504e-06,1.877670928703816186e-05
2.015079365079365026e+00,-6.736569306772184299e-06,-5.681428670163293936e-06
2.015873015873015817e+00,-4.533957690653308638e-06,-3.101460224524576397e-05
2.016666666666666607e+00,-1.694425520417850102e-06,-5.468519282223826774e-05
2.017460317460317398e+00,1.673842867477073450e-06,-7.396024488313508131e-05
2.018253968253968189e+00,5.316846696931845138e-06,-8.621850859397077829e-05
2.019047619047618980e+00,8.825674110917390412e-06,-8.937607975760569106e-05
2.019841269841269771e+00,1.167768145650713100e-05,-8.236548590493759849e-05
